id,title,description,availability,condition,price,link,image_link,brand
53,Sony Car Radio CDX-G1200U,"Car stereo with CD Player, USB , AUX Input, FM radio & red key illumination",In Stock,new,7500,http://amanivehiclesounds.co.ke/product/sony-car-radio-cdx-g1200u,http://amanivehiclesounds.co.ke/uploads/product/Sony-Car-Radio-CDX-G1200U-001.png,Sony
54,Sony  Car Stereo with Bluetooth.,"MEX-N4300BT radio with FM Radio receiver with Bluetooth, CD  player, USB, AUX IN.",In Stock,new,11000,http://amanivehiclesounds.co.ke/product/sony-car-stereo-with-bluetooth,http://amanivehiclesounds.co.ke/uploads/product/Sony--Car-Stereo-with-Bluetooth.-001.png,Sony
55,Sony WX-810UI Double din Car Radio,"Car Stereo with USB,CD Player, AUX IN",Out of Stock,new,12000,http://amanivehiclesounds.co.ke/product/sony-wx-810ui-double-din-car-radio,http://amanivehiclesounds.co.ke/uploads/product/Sony-WX-810UI-Double-din-Car-Radio-001.png,Sony
56,Sony WX-920BT Radio Receiver with BT,Double-DIN CD Receiver Bluetooth USB AUX IN,In Stock,new,13500,http://amanivehiclesounds.co.ke/product/sony-wx-920bt-radio-receiver-with-bt,http://amanivehiclesounds.co.ke/uploads/product/Sony-WX-920BT-Radio-Receiver-with-BT-001.png,Sony
57,SONY XAV-W651BT Car Stereo front USB,Receiver with Bluetooth DVD USB Reverse camera input,Out of Stock,new,19500,http://amanivehiclesounds.co.ke/product/sony-xav-w651bt-car-stereo-front-usb,http://amanivehiclesounds.co.ke/uploads/product/SONY-XAV-W651BT-Car-Stereo-front-USB-001.png,Sony
58,SONY XAV-AX100  Car Radio Receiver,6.4 inch Car Radio with apple car play android auto,Out of Stock,new,32000,http://amanivehiclesounds.co.ke/product/sony-xav-ax100-car-radio-receiver,http://amanivehiclesounds.co.ke/uploads/product/SONY-XAV-AX100--Car-Radio-Receiver-001.png,Sony
59,SONY XAV-AX200 Car Radio with 3 camer,Car Stereo with Apple Car Play and Android Auto & DVD Player.,In Stock,new,38000,http://amanivehiclesounds.co.ke/product/sony-xav-ax200-car-radio-with-3-camer,http://amanivehiclesounds.co.ke/uploads/product/SONY-XAV-AX200-Car-Radio-with-3-camer-001.png,Sony
60,SONY XAV-AX5000 Car Stereo system,"6.95"" Car Play /Android Auto Media Receiver with BLUETOOTH",In Stock,new,35000,http://amanivehiclesounds.co.ke/product/sony-xav-ax5000-car-stereo-system,http://amanivehiclesounds.co.ke/uploads/product/SONY-XAV-AX5000-Car-Stereo-system-001.png,Sony
61,SONY XS-FB101E 4 Inch Speakers Pair,10cm (4”) Dual Cone Dash Board Speakers,In Stock,new,2500,http://amanivehiclesounds.co.ke/product/sony-xs-fb101e-4-inch-speakers-pair,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-FB101E-4-Inch-Speakers-Pair-001.png,Sony
62,SONY XS-FB161E Door Speakers,16cm (6.5”) 2 way 260watts Dual Cone Speaker,In Stock,new,2800,http://amanivehiclesounds.co.ke/product/sony-xs-fb161e-door-speakers,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-FB161E-Door-Speakers-001.png,Sony
63,SONY XS-FB163E Door Speakers,6inch 260watts 3 way car speakers,In Stock,new,2800,http://amanivehiclesounds.co.ke/product/sony-xs-fb163e-door-speakers,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-FB163E-Door-Speakers-001.png,Sony
64,SONY XS-XB1651 6 Inch Door Speakers,350 Watts 16 cm (6” 1/2) 5-Way Coaxial Car Speakers,In Stock,new,7000,http://amanivehiclesounds.co.ke/product/sony-xs-xb1651-6-inch-door-speakers,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-XB1651-6-Inch-Door-Speakers-001.png,Sony
65,SONY XS-XB1621C Component Speakers,16cm (6” 1/2) 2-Way Sony Component Speakers,In Stock,new,8000,http://amanivehiclesounds.co.ke/product/sony-xs-xb1621c-component-speakers,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-XB1621C-Component-Speakers-001.png,Sony
66,SONY XS-GTF6939 Oval Speakers,420watts 6*9 inch Oval Car Speakers,In Stock,new,4500,http://amanivehiclesounds.co.ke/product/sony-xs-gtf6939-oval-speakers,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-GTF6939-Oval-Speakers-001.png,Sony
67,SONY XS-NW1200 Car Subwoofer,30 cm (12) Sony Subwoofer 1800 Watts.,In Stock,new,5500,http://amanivehiclesounds.co.ke/product/sony-xs-nw1200-car-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-NW1200-Car-Subwoofer-001.png,Sony
68,SONY XS-GTR121LD Car Subwoofer,2000 watts 12 inch Car Bass Speaker,In Stock,new,8500,http://amanivehiclesounds.co.ke/product/sony-xs-gtr121ld-car-subwoofer,http://amanivehiclesounds.co.ke/uploads/product/SONY-XS-GTR121LD-Car-Subwoofer-001.png,Sony
69,SONY XM-GS100 Monoblock Amplifier,Monoblock amplifier 1100watts Monoblock,In Stock,new,15000,http://amanivehiclesounds.co.ke/product/sony-xm-gs100-monoblock-amplifier,http://amanivehiclesounds.co.ke/uploads/product/SONY-XM-GS100-Monoblock-Amplifier-001.png,Sony
70,SONY XM-N502 2 Channel Amplifier,2-channel Bridgeable car amplifier 500 Watts,In Stock,new,5500,http://amanivehiclesounds.co.ke/product/sony-xm-n502-2-channel-amplifier,http://amanivehiclesounds.co.ke/uploads/product/SONY-XM-N502-2-Channel-Amplifier-001.png,Sony
